user_id,net_last_balance,location_changed,home_grid_active_users,office_grid_active_users,requests_sent,requests_accepted,travel_distance,travel_count,free_rides,recency_minutes,points_earned,route_distance,user_gender,avg_rating,churn
0,516.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,30,1.0,0.0,0.0
73,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,150.5,7,1.0,0.0,0.0
82,4634.5,1.0,1.0,66.0,4.0,32.0,410.0,41.0,24.0,706.416666667,1941.0,10,1.0,5.0,1.0
134,220.5,0.0,0.0,0.0,0.0,0.0,52.0,2.0,0.0,5074.45,207.0,26,1.0,0.0,1.0
138,1194.0,0.0,9.0,155.0,10.0,22.0,546.0,26.0,0.0,1924.51666667,1311.0,21,1.0,5.0,1.0
142,662.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,13946.3833333,108.0,15,1.0,0.0,0.0
147,51.5,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,42199.9,51.0,14,1.0,1.0,1.0
285,2240.5,0.0,3.0,66.0,2.0,3.0,16.0,4.0,4.0,28976.7,0.0,4,0.0,4.5,1.0
330,106.0,1.0,5.0,8.0,74.0,2.0,28.0,2.0,0.0,30614.35,0.0,14,0.0,0.0,1.0
439,597.5,1.0,0.0,0.0,0.0,0.0,104.0,4.0,0.0,30632.6166667,288.0,26,1.0,5.0,0.0
526,51.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,20000.0,18.0,9,1.0,0.0,1.0
531,27.5,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0.0,21733.7666667,33.0,8,1.0,0.0,0.0
538,0.0,0.0,3.0,2.0,3.0,1.0,24.0,1.0,0.0,20549.0166667,0.0,24,1.0,0.0,0.0
731,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,9.0,8,1.0,0.0,0.0
754,77.5,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,20625.0,93.0,31,1.0,0.0,0.0
779,259.5,0.0,2.0,155.0,114.0,1.0,14.0,1.0,0.0,1845.08333333,33.0,14,1.0,0.0,0.0
852,573.0,1.0,0.0,0.0,0.0,0.0,53.0,1.0,0.0,17604.5166667,36.0,53,1.0,3.0,0.0
884,705.5,0.0,9.0,155.0,1.0,8.0,189.0,9.0,0.0,299.966666667,0.0,21,1.0,5.0,1.0
921,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,147.0,35,1.0,0.0,0.0
930,310.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,22303.6,36.0,13,1.0,0.0,1.0
935,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,21.0,11,1.0,0.0,0.0
956,1894.5,1.0,1.0,155.0,3.0,10.0,594.0,18.0,0.0,256.15,2148.0,33,1.0,0.0,1.0
971,253.0,0.0,3.0,155.0,27.0,4.0,52.0,4.0,0.0,1016.31666667,135.0,13,1.0,5.0,1.0
1108,9273.5,0.0,4.0,155.0,4.0,3.0,33.0,3.0,0.0,1964.65,105.0,11,1.0,1.0,1.0
1111,160.0,0.0,1.0,7.0,9.0,3.0,99.0,3.0,0.0,22105.2833333,288.0,33,1.0,5.0,1.0
1293,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,20537.85,0.0,22,1.0,0.0,0.0
1313,6.5,0.0,0.0,0.0,0.0,0.0,44.0,4.0,0.0,3029.41666667,0.0,11,0.0,0.0,0.0
1388,200.0,1.0,2.0,18.0,16.0,1.0,28.0,1.0,0.0,718.45,0.0,28,1.0,0.0,1.0
1420,2358.0,0.0,0.0,0.0,0.0,0.0,36.0,3.0,0.0,30300.5666667,33.0,12,1.0,0.0,1.0
1428,182.0,0.0,15.0,155.0,6.0,23.0,260.0,26.0,0.0,416.3,0.0,10,0.0,5.0,1.0
1654,115.0,0.0,9.0,7.0,30.0,2.0,54.0,2.0,0.0,32139.65,198.0,27,1.0,5.0,0.0
1701,5302.0,1.0,2.0,1.0,4.0,53.0,726.0,66.0,12.0,292.966666667,5535.0,11,1.0,5.0,1.0
1713,430.0,0.0,1.0,7.0,2.0,2.0,94.0,2.0,0.0,39223.5666667,387.0,47,1.0,0.0,1.0
1724,159.0,1.0,2.0,9.0,4.0,3.0,21.0,3.0,0.0,32549.8166667,90.0,7,1.0,5.0,1.0
1741,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,18733.8666667,0.0,41,1.0,0.0,0.0
