user_id,net_last_balance,location_changed,home_grid_active_users,office_grid_active_users,requests_sent,requests_accepted,travel_distance,travel_count,free_rides,recency_minutes,points_earned,route_distance,user_gender,avg_rating,churn
0,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,30,1.0,0.0,0.0
76,1780.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,3843.56666667,48.0,9,1.0,0.0,0.0
82,880.5,1.0,2.0,54.0,2.0,20.0,250.0,25.0,9.0,2204.75,882.0,10,1.0,4.77777777778,1.0
108,4830.4,1.0,1.0,54.0,1.0,1.0,31.0,1.0,0.0,26453.65,126.0,31,1.0,0.0,1.0
138,2290.5,0.0,7.0,131.0,11.0,30.0,693.0,33.0,0.0,7782.73333333,1683.0,21,1.0,4.9,1.0
145,52.5,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,17652.9333333,63.0,22,1.0,0.0,0.0
169,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,23515.8666667,0.0,23,0.0,0.0,0.0
210,58.5,0.0,2.0,5.0,13.0,1.0,10.0,1.0,0.0,36483.5833333,36.0,10,1.0,0.0,0.0
285,346.5,1.0,3.0,54.0,2.0,3.0,16.0,4.0,4.0,4308.95,0.0,4,0.0,5.0,1.0
303,1617.0,1.0,3.0,54.0,2.0,2.0,6.0,2.0,2.0,31880.85,38.5,3,1.0,5.0,1.0
313,85.0,1.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,36421.65,48.0,24,1.0,0.0,0.0
330,318.0,1.0,1.0,9.0,86.0,6.0,98.0,7.0,0.0,8748.75,0.0,14,0.0,5.0,1.0
410,135.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,32658.6333333,162.0,46,1.0,0.0,0.0
439,287.5,0.0,0.0,0.0,0.0,0.0,52.0,2.0,0.0,29096.2166667,225.0,26,1.0,3.0,0.0
674,510.0,0.0,2.0,8.0,7.0,1.0,23.0,1.0,0.0,5240.85,75.0,23,1.0,0.0,0.0
884,534.5,1.0,7.0,131.0,8.0,6.0,147.0,7.0,0.0,12313.8333333,0.0,21,1.0,0.0,1.0
971,190.5,0.0,2.0,131.0,7.0,8.0,130.0,10.0,0.0,1852.63333333,372.0,13,1.0,5.0,1.0
1030,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,126.0,28,0.0,0.0,0.0
1108,8920.0,0.0,4.0,131.0,3.0,10.0,121.0,11.0,0.0,5999.81666667,396.0,11,1.0,5.0,1.0
1111,75.0,0.0,1.0,6.0,15.0,2.0,66.0,2.0,0.0,36131.55,180.0,33,1.0,0.0,1.0
1149,107.5,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,20000.0,129.0,42,1.0,5.0,0.0
1161,130.0,1.0,0.0,0.0,0.0,0.0,60.0,4.0,0.0,34880.4166667,156.0,15,1.0,5.0,0.0
1313,353.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20000.0,0.0,11,0.0,5.0,1.0
1331,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,32294.6333333,75.0,25,1.0,0.0,0.0
1378,0.0,0.0,1.0,131.0,21.0,1.0,33.0,1.0,0.0,23562.6333333,99.0,33,1.0,0.0,0.0
1401,109.0,1.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,40712.1166667,39.0,32,1.0,0.0,0.0
1420,2372.5,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,38068.8166667,0.0,12,1.0,0.0,0.0
1428,172.0,0.0,9.0,131.0,16.0,25.0,280.0,28.0,0.0,1513.96666667,0.0,10,0.0,5.0,1.0
1472,192.0,0.0,1.0,131.0,9.0,4.0,64.0,4.0,0.0,13845.3333333,0.0,16,1.0,0.0,1.0
1591,237.5,1.0,0.0,0.0,0.0,0.0,63.0,3.0,0.0,13057.8833333,183.0,21,1.0,4.0,1.0
1701,3718.5,0.0,0.0,0.0,0.0,0.0,110.0,10.0,0.0,22576.3833333,1185.0,11,1.0,5.0,1.0
1713,1570.0,0.0,1.0,7.0,2.0,14.0,705.0,15.0,0.0,3059.26666667,2064.0,47,1.0,5.0,1.0
