user_id,net_last_balance,location_changed,home_grid_active_users,office_grid_active_users,requests_sent,requests_accepted,travel_distance,travel_count,free_rides,recency_minutes,points_earned,route_distance,user_gender,avg_rating,churn
0.0,705.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,30,1,0.0,0.0
82.0,13957.0,0.0,3.0,128.0,3.0,33.0,370.0,37.0,16.0,1710.0,1463.0,10,1,4.875,1.0
108.0,6743.9,1.0,1.0,128.0,8.0,7.0,217.0,7.0,0.0,11849.95,384.0,31,1,5.0,1.0
133.0,90.0,0.0,3.0,1.0,20.0,1.0,29.0,1.0,0.0,7775.08333333,108.0,29,1,0.0,0.0
138.0,4134.0,0.0,19.0,323.0,2.0,2.0,42.0,2.0,0.0,39072.2,96.0,21,1,0.0,1.0
142.0,609.5,1.0,2.0,323.0,120.0,1.0,15.0,1.0,0.0,26274.1666667,0.0,15,1,0.0,0.0
167.0,875.0,1.0,2.0,323.0,1.0,7.0,84.0,7.0,0.0,1831.25,351.0,12,1,5.0,1.0
224.0,360.5,0.0,5.0,323.0,23.0,21.0,396.0,36.0,0.0,3071.7,0.0,11,1,5.0,1.0
274.0,916.0,0.0,1.0,4.0,32.0,10.0,280.0,10.0,0.0,5276.11666667,1266.0,28,1,4.83333333333,1.0
285.0,3776.0,1.0,3.0,128.0,25.0,9.0,40.0,10.0,10.0,3113.3,0.0,4,0,4.85714285714,1.0
330.0,8.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,42587.9,0.0,14,0,0.0,0.0
481.0,100.0,0.0,1.0,5.0,1.0,7.0,275.0,11.0,0.0,14918.75,0.0,25,0,5.0,1.0
526.0,341.5,0.0,6.0,21.0,7.0,4.0,36.0,4.0,0.0,13169.9166667,130.0,9,1,3.0,1.0
574.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,36379.6333333,0.0,11,0,0.0,0.0
674.0,492.0,0.0,5.0,16.0,123.0,1.0,23.0,1.0,1.0,26352.15,0.0,23,1,0.0,0.0
708.0,92.5,0.0,1.0,11.0,22.0,1.0,38.0,1.0,0.0,28158.2833333,111.0,38,1,0.0,0.0
719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,19,1,0.0,0.0
735.0,35.0,1.0,2.0,323.0,17.0,1.0,27.0,1.0,0.0,13582.4833333,42.0,27,1,0.0,1.0
884.0,129.5,0.0,19.0,323.0,4.0,3.0,63.0,3.0,0.0,15307.75,73.5,21,1,0.0,1.0
956.0,10159.5,0.0,1.0,323.0,13.0,8.0,528.0,16.0,0.0,24651.4833333,960.0,33,1,0.0,1.0
971.0,1327.5,0.0,5.0,323.0,51.0,15.0,234.0,18.0,0.0,4339.01666667,626.0,13,1,5.0,1.0
993.0,45.0,1.0,1.0,7.0,5.0,1.0,18.0,1.0,0.0,15425.45,54.0,18,1,4.0,0.0
1111.0,375.0,0.0,2.0,25.0,204.0,12.0,495.0,15.0,0.0,2225.11666667,1488.0,33,1,5.0,1.0
1142.0,234.0,0.0,19.0,323.0,1.0,1.0,21.0,1.0,0.0,36407.0666667,51.0,21,1,0.0,0.0
1388.0,130.0,1.0,6.0,40.0,28.0,12.0,420.0,15.0,0.0,3408.46666667,98.0,28,1,4.0,1.0
1397.0,418.0,0.0,17.0,323.0,6.0,26.0,476.0,34.0,34.0,951.283333333,0.0,14,1,5.0,1.0
1428.0,62.0,0.0,18.0,323.0,14.0,21.0,240.0,24.0,0.0,1710.0,0.0,10,0,5.0,1.0
1449.0,772.5,1.0,4.0,1.0,71.0,9.0,216.0,9.0,0.0,3121.35,693.0,24,1,5.0,1.0
1543.0,129.5,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,17796.05,27.0,8,1,0.0,0.0
1566.0,215.0,1.0,2.0,128.0,2.0,1.0,29.0,1.0,0.0,3464.86666667,90.0,29,1,0.0,1.0
1591.0,1489.0,1.0,8.0,98.0,16.0,2.0,42.0,2.0,0.0,3509.68333333,132.0,21,1,5.0,1.0
1647.0,1452.0,0.0,3.0,7.0,275.0,14.0,528.0,16.0,0.0,12029.9166667,1479.0,33,1,5.0,1.0
1716.0,1014.5,0.0,5.0,323.0,4.0,1.0,11.0,1.0,0.0,23489.9,27.0,11,1,5.0,0.0
1723.0,602.0,0.0,4.0,40.0,5.0,9.0,117.0,9.0,0.0,12094.0166667,656.5,13,1,0.0,1.0
1724.0,341.5,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,33968.45,33.0,7,1,0.0,1.0
1749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,34,0,0.0,0.0
1763.0,183.5,0.0,3.0,20.0,1.0,10.0,70.0,10.0,0.0,3666.78333333,0.0,7,0,0.0,1.0
1790.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20000.0,87.5,26,1,0.0,0.0
1874.0,223.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,17682.8333333,0.0,31,1,5.0,0.0
1949.0,588.5,0.0,5.0,98.0,1.0,1.0,12.0,1.0,0.0,38952.1166667,429.0,12,1,0.0,0.0
2034.0,1465.0,0.0,2.0,323.0,5.0,10.0,270.0,18.0,0.0,808.15,1134.0,15,1,3.66666666667,1.0
2171.0,883.5,0.0,11.0,8.0,156.0,5.0,120.0,5.0,0.0,27799.4,156.0,24,0,5.0,1.0
2195.0,2265.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,24689.8333333,70.0,28,1,0.0,0.0
2205.0,0.0,1.0,1.0,128.0,30.0,1.0,46.0,1.0,0.0,32494.2833333,0.0,46,1,0.0,0.0
2249.0,530.0,0.0,10.0,5.0,10.0,1.0,14.0,1.0,0.0,38969.5833333,60.0,14,1,5.0,1.0
2280.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,27919.9833333,45.5,13,1,0.0,0.0
2355.0,959.5,0.0,15.0,8.0,10.0,21.0,1144.0,26.0,0.0,1902.58333333,258.0,44,1,4.88235294118,1.0
2376.0,1202.0,0.0,11.0,7.0,20.0,6.0,210.0,6.0,0.0,24895.9,507.0,35,1,5.0,1.0
2399.0,10299.5,0.0,10.0,323.0,127.0,29.0,1376.0,32.0,5.0,789.35,5514.0,43,1,5.0,1.0
2495.0,15.0,0.0,5.0,1.0,2.0,2.0,10.0,2.0,0.0,12262.6166667,15.0,5,0,5.0,0.0
2500.0,91.0,0.0,5.0,323.0,19.0,4.0,16.0,4.0,0.0,33994.0333333,45.0,4,1,0.0,1.0
2599.0,2725.0,0.0,5.0,2.0,5.0,3.0,160.0,4.0,0.0,3041.63333333,4140.0,40,1,4.33333333333,0.0
2611.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,45.0,10,0,5.0,1.0
2646.0,30.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,37837.1333333,38.5,15,1,2.0,0.0
2805.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,26584.7166667,0.0,7,1,0.0,0.0
2829.0,347.5,1.0,18.0,34.0,10.0,3.0,24.0,3.0,0.0,23376.7166667,81.0,8,1,0.0,1.0
2854.0,259.0,0.0,0.0,0.0,0.0,0.0,58.0,2.0,0.0,42371.2666667,0.0,29,1,0.0,0.0
2906.0,234.5,1.0,3.0,34.0,8.0,5.0,252.0,6.0,0.0,22461.2666667,0.0,42,1,5.0,1.0
2913.0,462.5,1.0,1.0,7.0,16.0,6.0,248.0,8.0,0.0,3166.51666667,1125.5,31,1,5.0,1.0
2923.0,135.5,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,36112.4333333,72.0,39,1,0.0,0.0
2928.0,705.0,1.0,2.0,5.0,6.0,8.0,384.0,12.0,0.0,505.766666667,456.0,32,1,4.66666666667,1.0
2998.0,830.5,0.0,8.0,4.0,2.0,11.0,576.0,16.0,0.0,1773.18333333,0.0,36,1,5.0,1.0
3133.0,104.25,0.0,5.0,34.0,1.0,6.0,24.0,6.0,0.0,11909.9833333,0.0,4,1,5.0,1.0
3146.0,125.0,0.0,3.0,323.0,247.0,1.0,23.0,1.0,0.0,8102.48333333,0.0,23,1,5.0,1.0
3165.0,7175.5,1.0,2.0,128.0,21.0,54.0,2000.0,80.0,0.0,843.633333333,7441.0,25,1,5.0,1.0
3173.0,482.5,0.0,5.0,7.0,10.0,1.0,34.0,1.0,0.0,6517.75,117.5,34,1,5.0,1.0
3184.0,112.5,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,16287.8166667,135.0,45,1,0.0,0.0
3196.0,175.0,1.0,2.0,7.0,1.0,1.0,49.0,1.0,0.0,42571.25,325.0,49,1,5.0,1.0
3320.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20000.0,9.0,21,1,0.0,1.0
3356.0,3320.0,0.0,4.0,7.0,2.0,2.0,56.0,2.0,0.0,12182.1,168.0,28,1,5.0,1.0
3412.0,308.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,15,0,0.0,0.0
3462.0,132.5,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,23711.3666667,81.0,27,1,0.0,0.0
3464.0,347.0,0.0,18.0,323.0,31.0,20.0,220.0,20.0,0.0,479.133333333,38.5,11,0,0.0,1.0
3546.0,362.5,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,3177.03333333,105.0,35,1,0.0,0.0
3565.0,902.0,1.0,4.0,7.0,5.0,12.0,360.0,12.0,0.0,4818.16666667,1044.0,30,1,4.75,1.0
3571.0,0.0,0.0,2.0,3.0,2.0,1.0,26.0,1.0,0.0,22054.5166667,0.0,26,0,0.0,0.0
3726.0,0.0,1.0,6.0,3.0,3.0,1.0,16.0,1.0,0.0,14327.8333333,0.0,16,0,0.0,0.0
3730.0,257.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,39,1,0.0,1.0
3747.0,32.5,0.0,3.0,1.0,4.0,1.0,12.0,1.0,0.0,15212.7,39.0,12,1,0.0,0.0
3749.0,207.0,1.0,1.0,16.0,1.0,3.0,156.0,4.0,0.0,4714.56666667,0.0,39,1,5.0,1.0
3820.0,46.5,0.0,8.0,13.0,80.0,1.0,30.0,1.0,0.0,28330.2,77.0,30,1,0.0,1.0
3951.0,9409.0,1.0,1.0,21.0,10.0,74.0,1881.0,99.0,0.0,2417.83333333,7645.0,19,1,4.68181818182,1.0
