user_id,net_last_balance,location_changed,home_grid_active_users,office_grid_active_users,requests_sent,requests_accepted,travel_distance,travel_count,free_rides,recency_minutes,points_earned,route_distance,user_gender,avg_rating,churn
0,368.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,30,1.0,0.0,0.0
80,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,21.0,6,1.0,0.0,0.0
82,2202.0,0.0,0.0,0.0,0.0,0.0,270.0,27.0,24.0,1658.9,1026.0,10,1.0,4.66666666667,1.0
86,1482.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,73.5,16,1.0,0.0,0.0
138,4493.5,0.0,8.0,133.0,6.0,29.0,693.0,33.0,0.0,2122.6,1686.0,21,1.0,4.88888888889,1.0
143,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,84.0,35,0.0,0.0,0.0
147,51.5,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,439.9,51.0,14,1.0,1.0,0.0
167,148.5,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,6152.78333333,33.0,12,1.0,0.0,0.0
285,310.5,0.0,3.0,52.0,4.0,2.0,8.0,2.0,2.0,20292.7166667,0.0,4,0.0,0.0,1.0
303,1601.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,20322.75,6.0,3,1.0,5.0,0.0
330,25.0,1.0,3.0,7.0,18.0,14.0,294.0,21.0,0.0,8029.31666667,63.0,14,0.0,4.0,1.0
528,120.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,0.0,19334.2333333,144.0,48,1.0,0.0,0.0
884,20.0,0.0,8.0,133.0,29.0,10.0,210.0,10.0,0.0,83.0,0.0,21,1.0,0.0,1.0
930,140.0,1.0,2.0,34.0,1.0,5.0,78.0,6.0,0.0,21660.0333333,206.5,13,1.0,5.0,1.0
956,87.5,1.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,7584.03333333,105.0,33,1.0,5.0,1.0
971,70.5,0.0,2.0,133.0,28.0,9.0,156.0,12.0,0.0,20540.75,486.0,13,1.0,0.0,1.0
1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,22,1.0,0.0,0.0
1108,9180.0,0.0,3.0,133.0,7.0,3.0,33.0,3.0,0.0,13199.9166667,186.0,11,1.0,0.0,1.0
1111,160.0,1.0,1.0,6.0,17.0,2.0,66.0,2.0,0.0,19324.9666667,288.0,33,1.0,5.0,1.0
1155,70.0,0.0,0.0,0.0,0.0,0.0,61.0,1.0,0.0,26620.0,84.0,61,1.0,0.0,0.0
1274,867.0,0.0,1.0,4.0,155.0,2.0,32.0,2.0,0.0,16802.7333333,474.0,16,1.0,0.0,0.0
1313,122.0,0.0,1.0,133.0,2.0,8.0,88.0,8.0,0.0,1589.4,0.0,11,0.0,0.0,1.0
1428,342.0,0.0,12.0,133.0,7.0,27.0,290.0,29.0,0.0,85.05,0.0,10,0.0,5.0,1.0
1468,80.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,1.0,30417.9166667,0.0,24,1.0,0.0,0.0
1472,24.0,0.0,0.0,0.0,0.0,0.0,64.0,4.0,0.0,17720.2166667,0.0,16,1.0,0.0,0.0
1591,352.5,0.0,6.0,34.0,1.0,1.0,21.0,1.0,0.0,8895.36666667,54.0,21,1.0,0.0,0.0
1647,87.5,1.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,20000.0,105.0,33,1.0,0.0,0.0
1654,632.0,0.0,8.0,9.0,219.0,8.0,216.0,8.0,0.0,10499.2333333,615.0,27,1.0,0.0,1.0
1658,80.0,1.0,2.0,6.0,38.0,1.0,27.0,1.0,0.0,19397.4833333,96.0,27,1.0,0.0,0.0
1677,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,0.0,16689.2666667,114.0,38,0.0,0.0,0.0
1701,2256.5,1.0,1.0,1.0,6.0,26.0,308.0,28.0,0.0,333.15,3342.0,11,1.0,4.93333333333,1.0
1713,1285.0,0.0,1.0,9.0,4.0,13.0,658.0,14.0,0.0,1683.86666667,1806.0,47,1.0,5.0,1.0
1735,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,17777.3166667,0.0,26,1.0,0.0,0.0
1828,64.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,27479.15,112.0,39,1.0,0.0,1.0
1885,275.5,1.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,30737.5666667,90.0,26,1.0,0.0,1.0
1886,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,0.0,8205.08333333,0.0,38,0.0,0.0,0.0
2034,693.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,39465.95,117.0,15,1.0,0.0,0.0
2171,15.5,0.0,9.0,4.0,10.0,1.0,24.0,1.0,0.0,1871.05,0.0,24,0.0,5.0,1.0
2195,3075.0,1.0,0.0,0.0,0.0,0.0,392.0,14.0,0.0,1679.95,2073.0,28,1.0,0.0,1.0
2249,960.0,1.0,0.0,0.0,0.0,0.0,168.0,12.0,0.0,106.15,720.0,14,1.0,5.0,1.0
2260,687.5,0.0,0.0,0.0,0.0,0.0,75.0,5.0,0.0,386.916666667,225.0,15,1.0,1.0,1.0
2311,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,8056.93333333,42.0,8,0.0,0.0,0.0
2337,90.0,1.0,1.0,2.0,35.0,1.0,32.0,1.0,0.0,37437.5666667,108.0,32,1.0,0.0,0.0
2355,45.0,1.0,7.0,4.0,3.0,5.0,220.0,5.0,0.0,8107.8,0.0,44,1.0,0.0,1.0
2399,921.5,0.0,2.0,133.0,4.0,15.0,989.0,23.0,15.0,1619.45,1845.0,43,1.0,4.92307692308,1.0
2448,617.5,0.0,0.0,0.0,0.0,0.0,425.0,17.0,0.0,2128.55,1620.0,25,1.0,5.0,1.0
2505,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,11792.4,0.0,30,0.0,0.0,0.0
2599,190.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,20000.0,114.0,40,1.0,1.0,0.0
2714,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,8977.53333333,0.0,24,1.0,0.0,0.0
2854,86.0,0.0,1.0,133.0,2.0,8.0,261.0,9.0,0.0,20965.8166667,0.0,29,1.0,0.0,1.0
2913,244.5,0.0,1.0,5.0,1.0,2.0,62.0,2.0,0.0,6123.18333333,183.0,31,1.0,0.0,1.0
2998,924.5,0.0,1.0,3.0,5.0,13.0,576.0,16.0,0.0,331.85,0.0,36,1.0,5.0,1.0
3032,43.0,0.0,1.0,133.0,12.0,1.0,25.0,1.0,0.0,20866.3333333,84.0,25,1.0,0.0,0.0
3133,82.25,0.0,5.0,11.0,1.0,6.0,24.0,6.0,0.0,30735.1333333,0.0,4,1.0,5.0,1.0
3165,2130.0,0.0,1.0,52.0,8.0,17.0,650.0,26.0,0.0,4609.11666667,2481.0,25,1.0,4.66666666667,1.0
3343,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,9353.41666667,0.0,37,1.0,0.0,0.0
3356,2056.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,1978.83333333,84.0,28,1.0,5.0,1.0
3412,443.5,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,21979.95,0.0,15,0.0,0.0,1.0
3444,129.5,0.0,2.0,52.0,2.0,14.0,182.0,14.0,0.0,852.166666667,0.0,13,0.0,0.0,1.0
3565,250.5,1.0,0.0,0.0,0.0,0.0,90.0,3.0,0.0,328.233333333,277.5,30,1.0,5.0,1.0
3567,92.5,0.0,1.0,9.0,83.0,1.0,37.0,1.0,0.0,27750.45,111.0,37,1.0,0.0,1.0
