user_id,net_last_balance,location_changed,home_grid_active_users,office_grid_active_users,requests_sent,requests_accepted,travel_distance,travel_count,free_rides,recency_minutes,points_earned,route_distance,user_gender,avg_rating,churn
0,2126.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,30,1,0.0,0.0
75,2358.0,0.0,1.0,16.0,6.0,1.0,12.0,1.0,0.0,8701.35,56.0,12,1,0.0,1.0
82,6878.0,1.0,2.0,87.0,4.0,49.0,570.0,57.0,27.0,1816.08333333,1711.0,10,1,5.0,1.0
86,1961.0,1.0,0.0,0.0,0.0,0.0,48.0,3.0,0.0,1795.2,486.0,16,1,0.0,1.0
108,4995.4,1.0,0.0,0.0,0.0,0.0,93.0,3.0,0.0,12432.0666667,198.0,31,1,5.0,1.0
134,278.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,8918.33333333,69.0,26,1,0.0,0.0
138,3536.0,1.0,8.0,239.0,521.0,28.0,798.0,38.0,0.0,1937.31666667,2028.0,21,1,5.0,0.0
139,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,20000.0,66.5,17,1,0.0,0.0
147,317.5,0.0,5.0,239.0,221.0,6.0,84.0,6.0,0.0,3473.45,300.0,14,1,5.0,1.0
167,248.5,0.0,2.0,239.0,1.0,4.0,48.0,4.0,0.0,6046.26666667,120.0,12,1,5.0,1.0
217,102.5,1.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,4744.66666667,123.0,41,1,0.0,1.0
285,62.0,1.0,4.0,87.0,1.0,13.0,60.0,15.0,15.0,2989.95,17.5,4,0,4.8,1.0
303,1613.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,15.0,3,1,0.0,1.0
330,57.0,0.0,5.0,14.0,17.0,1.0,14.0,1.0,0.0,26909.8,0.0,14,0,0.0,1.0
399,152.5,1.0,2.0,16.0,36.0,1.0,35.0,1.0,0.0,13472.1333333,84.0,35,1,5.0,1.0
