user_id,net_last_balance,location_changed,home_grid_active_users,office_grid_active_users,requests_sent,requests_accepted,travel_distance,travel_count,free_rides,recency_minutes,points_earned,route_distance,user_gender,avg_rating,churn
0.0,481.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,30,1,0.0,0.0
71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,12,0,0.0,0.0
76.0,1807.5,0.0,25.0,22.0,15.0,1.0,9.0,1.0,0.0,35153.6333333,33.0,9,1,0.0,0.0
82.0,17767.0,0.0,6.0,209.0,22.0,28.0,330.0,33.0,18.0,11639.9333333,1524.0,10,1,5.0,1.0
108.0,8536.4,1.0,2.0,209.0,14.0,9.0,434.0,14.0,0.0,11833.5666667,1293.0,31,1,4.90909090909,1.0
138.0,554.0,0.0,0.0,0.0,0.0,0.0,210.0,10.0,0.0,31196.5166667,555.0,21,1,5.0,1.0
167.0,1255.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,33835.9333333,156.0,12,1,0.0,1.0
188.0,0.0,0.0,4.0,154.0,29.0,1.0,32.0,1.0,0.0,26069.7,96.0,32,1,0.0,1.0
216.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,25081.8666667,0.0,46,1,0.0,0.0
224.0,213.0,0.0,4.0,430.0,8.0,17.0,319.0,29.0,0.0,10499.95,38.5,11,1,0.0,1.0
269.0,0.0,1.0,6.0,209.0,27.0,1.0,7.0,1.0,0.0,15282.2833333,0.0,7,0,0.0,0.0
274.0,2133.5,0.0,1.0,9.0,19.0,14.0,392.0,14.0,0.0,23455.45,1442.5,28,1,5.0,1.0
285.0,1946.5,1.0,14.0,209.0,33.0,9.0,36.0,9.0,9.0,11818.0833333,40.0,4,0,3.6,1.0
303.0,2053.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,20000.0,0.0,3,1,0.0,1.0
330.0,363.0,0.0,5.0,73.0,7.0,4.0,56.0,4.0,0.0,17324.0833333,0.0,14,0,5.0,1.0
395.0,47.5,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,3547.23333333,57.0,19,1,0.0,0.0
526.0,25.0,0.0,6.0,38.0,6.0,1.0,9.0,1.0,0.0,27505.7,30.0,9,1,0.0,1.0
576.0,20.0,1.0,25.0,9.0,2.0,1.0,9.0,1.0,0.0,35355.9666667,24.0,9,1,0.0,1.0
779.0,434.5,1.0,0.0,0.0,0.0,0.0,70.0,5.0,0.0,11933.2166667,210.0,14,1,5.0,1.0
842.0,278.0,1.0,6.0,430.0,281.0,31.0,342.0,38.0,0.0,10641.2333333,1344.0,9,1,5.0,1.0
939.0,2570.0,1.0,7.0,154.0,14.0,17.0,144.0,18.0,0.0,11786.8166667,469.0,8,1,5.0,1.0
956.0,1288.5,0.0,2.0,430.0,1.0,3.0,132.0,4.0,0.0,40603.95,420.0,33,1,0.0,1.0
971.0,4364.0,0.0,8.0,430.0,48.0,9.0,156.0,12.0,0.0,21749.8833333,922.0,13,1,5.0,1.0
977.0,0.0,1.0,1.0,1.0,3.0,1.0,31.0,1.0,0.0,26551.15,93.0,31,1,0.0,1.0
1108.0,9576.0,0.0,6.0,430.0,3.0,2.0,33.0,3.0,0.0,36582.2166667,135.0,11,1,5.0,1.0
1111.0,1086.0,0.0,3.0,30.0,275.0,28.0,1089.0,33.0,0.0,11119.5333333,3921.0,33,1,3.625,1.0
1274.0,844.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,20000.0,0.0,16,1,0.0,0.0
1388.0,106.0,0.0,0.0,0.0,0.0,0.0,140.0,5.0,0.0,22423.1333333,0.0,28,1,4.66666666667,1.0
